confusion_set	expected	target	masked_sentence
Them,Theme,them,theme	theme	them	A decent portion of this front-running [MASK] is already being seen in market rates.
To,Too,Two,to,too,two	to	too	A DWP spokesperson explained [MASK] : "Some customers who have become retrospectively entitled were paid into their requested account today.
To,Too,Two,to,too,two	too	to	After a night at home with the group in Aberdeen she was going with them to Dunfermline [MASK].
Lead,Led,lead,led	lead	led	A labyrinth of underground passport control booths and passageways [MASK] cruise ship passengers to tour buses that spirit them across the city on day trips, mostly to major sites far from the port.
Lead,Led,lead,led	lead	led	A labyrinth of underground passport control booths and passageways [MASK] cruise ship passengers to tour buses that spirit them across the city on day trips, mostly to major sites far from the port.
Lead,Led,lead,led	lead	led	All parties came to an agreement in regards to the township placing “Do Not Enter” signage along the roads that [MASK] to Trach Road and providing temporary portable barricades at the entrances of the road for 90 days to prevent traffic from accessing it.
Past,passed,past	passed	past	Amongst the houses [MASK], a pattern emerges of villa, Lexus and renovation — a gold spray-painted gate or a large green overshade — giving me a peek into the homeowner’s head.
Past,passed,past	passed	past	Amongst the houses [MASK], a pattern emerges of villa, Lexus and renovation — a gold spray-painted gate or a large green overshade — giving me a peek into the homeowner’s head.
To,Too,Two,to,too,two	to	too	And free agency has given us the ability in areas [MASK], man, we can do whatever we need to do in the draft.
To,Too,Two,to,too,two	to	too	And free agency has given us the ability in areas [MASK], man, we can do whatever we need to do in the draft.
Their,There,They,their,there,they	they	there	And if [MASK] – because -- what else can you, unless you are managing money for other people, you can only have your own views.
Than,Then,than,then	then	than	“And [MASK] with the potential loss of reimbursement for those who did qualify, that's just going to add an additional layer of burden upon rural institutions.”
Than,Then,than,then	than	then	“And we kind of cover a different side of the puzzle [MASK] maybe the non-profit or public sector does ….
Country,County,country,county	county	country	An Officer of the OBE is awarded for distinguished regional or [MASK]-wide role in any field, through achievement or service to the community.
Country,County,country,county	county	country	An Officer of the OBE is awarded for distinguished regional or [MASK]-wide role in any field, through achievement or service to the community.
Their,There,They,their,there,they	their	there	Anonymous tips can be submitted through Fayetteville / Cumberland County Crime Stoppers by calling (910) 483-8477 or electronically on [MASK] and completing the anonymous online tip sheet.
Their,There,They,their,there,they	their	there	Anonymous tips can be submitted through Fayetteville / Cumberland County Crime Stoppers by calling (910) 483-8477 or electronically on [MASK] and completing the anonymous online tip sheet.
Their,There,They,their,there,they	their	they	Anonymous tips can be submitted through Fayetteville / Cumberland County Crime Stoppers by calling (910) 483-8477 or electronically on [MASK] and completing the anonymous online tip sheet.
Effect,affect,effect	effect	affect	Another little talked about [MASK] would be the damage to the ozone layer caused by soaring levels of nitrogen oxides.
Country,County,country,county	country	county	As of January, the [MASK] has the vast majority of new manufacturing capacity in the pipeline looking forward to 2030: 85% of wind blade capacity, 90% of solar wafer capacity, and more than 95% of anode and cathode material for EV batteries.
Country,County,country,county	county	country	"As the [MASK]'s Destination Management Organisation, we trust in the planning process to ensure a decision that balances all these important factors."
Country,County,country,county	county	country	"As the [MASK]'s Destination Management Organisation, we trust in the planning process to ensure a decision that balances all these important factors."
Capital,Capitol,capital	Capitol	capital	As the hearing nears the two-hour mark, Fetterman changes into a suit and heads through the [MASK]’s winding underground passages.
Their,There,They,their,there,they	they	their	As Utah leaned on their seven-foot star center, Ben Carlsen, [MASK] slowed reeled Colorado in, whittling a 20-12 lead down to a 25-19 lead, before Da Silva led yet another run for the Buffaloes.
Trail,Trial,trail,trial	trial	trail	A [MASK] is currently underway in the heart of Eberswalde forest northeast of Berlin, a hotspot for wildfires in the country.
Country,County,country,county	country	county	A trial is currently underway in the heart of Eberswalde forest northeast of Berlin, a hotspot for wildfires in the [MASK].
Rise,raise,rise	rise	raise	Authorities say the vandalism happened overnight and it comes as cases of antisemitism [MASK] across the United States.
To,Too,Two,to,too,two	to	Two	‘Barbie’s Greta Gerwig Brought [MASK] Tears by Ken Flash Mob Sent by Ryan Gosling for Her Birthday (Video)thewrap.
To,Too,Two,to,too,two	to	too	Bloomfield's quotes [MASK] follow shortly.
Than,Then,than,then	then	than	Bob MacIntyre aims to use next week’s BMW PGA Championship to initially “pick the brains” of his Ryder Cup team-mates [MASK] “beat their brains out” on the iconic West Course at Wentworth.
Than,Then,than,then	then	than	Bob MacIntyre aims to use next week’s BMW PGA Championship to initially “pick the brains” of his Ryder Cup team-mates [MASK] “beat their brains out” on the iconic West Course at Wentworth.
To,Too,Two,to,too,two	to	too	But if you look at the media this story was leaked [MASK] I see dirty Democrat fingerprints everywhere.
To,Too,Two,to,too,two	to	too	But if you look at the media this story was leaked [MASK] I see dirty Democrat fingerprints everywhere.
