result_fw	result_bw	index	org_token	org_suggestion	masked_sentence
TP	TN	208822	were	wear	When dancing ballet, you are required to [MASK] tights with a leotard.
TP	TN	524374	affect	effect	The Atlantic has a large [MASK] in the north and west.
TP	TN	16804	work	word	Its name comes from the Greek [MASK] for Sun, helios.
FN	TN	341582	bitch	pitch	There are four things which music often has Music often has [MASK].
FN	TN	1250703	weed	wheat	One person who owned many cows could trade with another person who owned much [MASK].
TP	TN	343890	art	part	Leaving Canada Quebec was [MASK] of New France until 1760.
FN	TN	656168	mile	milk	But still keeping the chocloate [MASK] away.
TP	TN	708056	crack	back	They also have a dark line down their [MASK].
TP	TN	103691	seal	meal	There is also informal education, for example, a parent teaching a child how to make a [MASK].
TP	TN	350785	monkeys	monks	History The first people who lived on Iceland were Irish [MASK].
FN	TN	211968	steam	siege	Some of these machines were called catapults or [MASK] engines.
TP	TN	28378	king	kind	History of paper Many centuries ago as early as 3000 BC people in Egypt made a [MASK] of paper from the papyrus plant.
TP	TN	113165	effects	affects	Energy from the sun [MASK] the weather.
FN	FP	147342	castle	caste	He would not keep his wife, his child, his wealth, or his [MASK].
TP	TN	325250	whole	hole	You take it and put it in the groud and pick up the dirt and it makes a [MASK].
TP	TN	668219	brakes	breaks	Another example is Protease, protease is used to break down protein and it [MASK] it down into even smaller molecules, called amino acids.
TP	TN	87643	forums	forms	A fuel is a substance that is burned to produce heat, electricity, or other [MASK] of energy.
TP	TN	333917	found	founded	Arthur Phillip was born in Britain and [MASK] Sydney in 1788.
TP	TN	408431	loose	lose	Dudley was an ambitious man and realised that if either of Edward s half-sisters, Mary or Elizabeth, gained the throne, he would [MASK] his position and might be beheaded.
TP	TN	139324	bank	band	Personal life Gwyneth was married to Chris Martin, who is the singer of the [MASK] Coldplay on December 5, 2003.
TP	TN	1037068	brought	bought	It can be bought at shops and normally comes with Microsoft Office, but can be [MASK] separately.
TP	TN	142927	desert	dessert	The traditional meal served at Phillippe s is a French dip sandwich, a bag of potato chips, a soft-drink preferably root beer or cola , and a tapioca pudding cup for [MASK].
FN	FP	484398	cord	chord	It is a member of the [MASK] family.
TP	TN	487171	depressed	pressed	Typo P instead of O and hitting Z when shift is [MASK].
TP	TN	21466	night	light	Animals are being endangered every day, just because you turned on that [MASK].
TP	TN	62139	starting	starring	Douglas aslo was known for his humorous detective novels [MASK] Dirk Gentley, and for his many efforts to promote conservation of endanged species.
TP	TN	47551	insisting	consisting	The Who are a popular British rock group [MASK] of Roger Daltrey vocals , Pete Townshend guitar , John Entwhistle bass , and Keith Moon drums.
TP	TN	737736	site	sight	In Korea Kimchi Pots are a common [MASK].
TP	TN	89921	run	fun	Fishing for fun Fishing for [MASK] is normally done with a fishing rod and line with any number of things to get the fish.
TP	TN	471817	erection	eruption	Eruption of 79 Today, people think the [MASK] lasted more than 19 hours.
TP	TN	1215169	plane	plain	Trikala is built on a large [MASK].
TP	TN	989684	trunks	trucks	Also, the track spreads the weight of the train which means larger amounts can be carried than with [MASK] and roads.
TP	TN	195975	crap	crab	Eugene H. Krabs a [MASK] who is the creator of the Krusty Krab restaurant.
TP	TN	186281	cooled	called	The idea that something can be split into many parts is [MASK] pluralism.
FN	FP	55424	mean	meal	Sometimes, especially in the Southern United States and the United Kingdom dinner can [MASK] a mean eaten in the middle of the day.
TP	TN	60247	trail	trial	In 2005 there was another [MASK].
TP	TN	126570	ear	year	Inflation is measured each [MASK], and the inflation rate is one of the most important indicators.
TP	TN	1129244	brake	break	Uses of anthrax Anthrax is generally used with the Russians who made many of the strains during the Cold War era to use against the United States if war was ever to [MASK] out.
TP	TN	309490	ears	years	Several [MASK] earlier adopters and developers of USB gathered in a special hotel in California to test their devices.
TP	TN	64655	tow	town	Coesfeld has been a [MASK] since 1197.
TP	TN	194815	office	officer	A police [MASK] typically wears a police suit, which consists of a bulletproof vest.
TP	TN	928351	compliment	complement	mRNA mRNA, or Messenger RNA is the [MASK] strand of DNA.
FN	FP	794884	fund	found	He left instructions in his will that his money should [MASK] the Nobel Prize.
TP	TN	657934	dick	duck	Especially in Asia, many people like to eat [MASK].
TP	TN	937722	stars	starts	After that it [MASK] to tumble and drop.
TP	TN	1002353	easy	east	The [MASK] mainly spoke the Greek language.
TP	TN	1150628	honey	money	People who had bad things happen to them or who have lots of [MASK] are more likely to get the disease too.
TP	TN	502090	park	part	The electrode is made of the same kind of metal that is being welded, and melts into the weld and becomes [MASK] of it.
TP	TN	333224	spit	split	Primates are [MASK] into two groups simians and prosimians.
