confusion_set	target	suggestion	rating	sentence
advice,advise	advise	advice	1	Finally , the actors were not Danny Brook and Tina Truelove , but others I have never seeing before , and the restaurant was closed with no [MASK] .  
advice,advise	advice	advise	1	At the end of show , unfortunately for me and the others spectators , the worst thing happened : the theatre 's restaurant was closed without any reasons and nobody went to us to apologise or [MASK] us for an other restaurant opened late in the night .  
advice,advise	advise	advice	1	Pat gave same [MASK] for me and I disayded to have an operetion .  
advice,advise	advise	advice	1	"My [MASK] for you is : "" Do not put to much subjects , just put a few subject and make them look interesting ""  My name is German Schmidt"
advice,advise	advise	advice	1	To sum up , my [MASK] is that the women should go alone or with a female friend .  
advice,advise	advise	advice	1	But my [MASK] for people , who like it so much that can not help doing it , is to try shopping in the afternoon , at this hour no-one do shopping and if there are some shops that are closed you can always go to a shopping mall .  
advice,advise	advise	advice	1	There were some people they gave me some [MASK] to clean the face and etc .  
advice,advise	advise	advice	1	Because I do n't like to give some [MASK] it 's can be willy boring .  
brakes,breaks	brakes	breaks	1	Of course there was the cooking and bar-tending for anyone who was hungry during the [MASK] .  
Country,County,country,county	county	country	1	A lot of [MASK] buy gans for their safty as they say but they buy them do kill people .  
Country,County,country,county	county	country	1	One cold day , Hungbu saw a bird that had a broken wing , so the bird could n't fly to the warmer [MASK] during the winter .  
Effect,affect,effect	effect	affect	1	Shopping does not just [MASK] us mentally , but also physically .  
Effect,affect,effect	effect	affect	1	Some of them are big and some of theme are small , but they [MASK] our lives in the same way .  
Effects,affects,effects	affects	effects	1	On the other hand , the [MASK] that it has on our daily life is not always good as sometime , the technology went wrong and out of hand of people who control it can cause disaster accidents , for example : plane crashes , trains crashed and explosion of nuclears bomb .  
Effects,affects,effects	effects	affects	1	It 's something absoletuly necessary for every action people does It [MASK] us both positive and negative .  
Effects,affects,effects	effects	affects	1	Often people do not see how it [MASK] our life style .  
Effects,affects,effects	affects	effects	0	I think that our lives are lives with technology , they sometimes mean the same as science and [MASK] not on at each other but together .  
Except,accept,except	accept	except	0	Thank 's for [MASK] me in the competition .  
Except,accept,except	except	accept	1	We hope we do not cause any problems to your programme and hope that you will [MASK] our request .  
