result	index	org_token	org_suggestion	masked_sentence	diff_certainty
FN	41103181	Universität	University	Möglich ist aber auch, dass es „CIS-co“ war – Computer Information Services war die Abteilung der Stanford [MASK], in der die Gründer arbeiteten.	0.21001846
TP	40668358	Resistance	Résistance	Wie viele britische Regisseure leistete Hitchcock seine Beiträge für die Kriegspropaganda und drehte unter anderem Kurzfilme zur Unterstützung der französischen [MASK].	0.00885005
TP	15975937	sin	sind	Nahezu alle Hochfesten Aluminiumlegierungen [MASK] von dem Problem betroffen.	0.92715301
TP	3929925	vor	fort	Dareios setzte inzwischen seine Flucht [MASK].	0.38711026
TP	3929925	Herr	Heer	Erst als der Monsun wieder begann, erreichte das [MASK] 325 v.Chr. die Indusmündung und den Indischen Ozean.	0.03258902
TP	10915230	is	ist	In den USA [MASK] der Acre als Flächenmaß absolut gebräuchlich.	0.95610844
FN	20958441	Alter	After	Im [MASK] von sechs Jahren wurde Turing nach St.Michaels in eine Ganztagsschule geschickt.	0.99185053
TP	21426165	After	Alter	Im [MASK] von sechs Jahren wurde Turing nach St.Michaels in eine Ganztagsschule geschickt.	0.99185053
FN	14529597	Mai	Juni	Im Januar 2006 bestätigte Angelina Jolie, dass sie ein Kind von Brad Pitt erwartet, das im [MASK] zur Welt kommen soll.	0.10080543
FN	14756882	Juni	Mai	Im Januar 2006 bestätigte Angelina Jolie, dass sie ein Kind von Brad Pitt erwartet, das im [MASK] zur Welt kommen soll.	0.10080543
FN	31050312	Februar	February	24. [MASK] 2007.Filmografie	0.03827446
TP	8863022	Begin	Beginn	Im deutschen Schrifttum erscheint das Wort in lateinischer Form ab Ende des 16. Jahrhunderts, ab [MASK] des 18.Jahrhunderts gilt es als eingedeutscht.	0.07429644
TP	436540	jüngeren	anderen	Dort versuchte man ihn, nachdem er durch Sexspiele mit [MASK] Kindern gegen die lokalen Tabus verstoßen hatte, mit Gewalt anderthalbjährige Isolation umzuerziehen .Es darf vermutet werden, dass seine spätere Abneigung des Christlichen in dieser Zeit seine Ursachen hat.	0.03661384
TP	74432427	anerkannt	bekannt	Bereits in jungen Jahren war Crowley als ausgezeichneter Bergsteiger [MASK].	0.14795964
TP	3836258	an	ein	Bereits früh schlug er eine militärische Laufbahn [MASK].	0.89847563
TP	2965585	sien	sein	Insbesondere sind Produkte von Apple oft darauf ausgelegt, einfacher zu benutzen zu [MASK], als vergleichbare Produkte, ohne deswegen weniger Funktionen zu bieten.	0.07146809
TP	26295245	lies	ließ	Auch gegenüber den zahlreichen vegetarischen Gemeinschaften in Deutschland zeigte er keinerlei Sympathien Noch 1933 verbot er sämtliche Organisationen und [MASK] ihre Vorstände verhaften.vgl.	0.03949191
FN	31987802	Ritter	Reiter	Hitler soll in den Zwanziger Jahren eine Beziehung zu Maria [MASK] gehabt haben.	0.00057594
TP	22104048	Departement	Département	Um die Jahrhundertwende eroberten die Franzosen auch die Saharagebiete Algeriens und es wurde ein [MASK] Frankreichs.	0.05025268
TP	5329801	da	dar	Swapspeicher stellt damit eine sehr preiswerte, aber mit extrem schlechter Performance verbundene Erweiterung des physikalischen Arbeitsspeichers [MASK].	0.94692852
FN	21952246	Torre	Tore	Eine Plakette mit einem Foto von Agatha Christie am [MASK] Abbey in Torquay.	0.00181828
TP	21976376	Tore	Torre	Eine Plakette mit einem Foto von Agatha Christie am [MASK] Abbey in Torquay.	0.00181828
TP	47872734	Wegen	Wagen	Im Römischen Reich wurden um 200 n. Wagen benutzt, die durch die Muskelkraft von Sklaven im Inneren der [MASK] bewegt wurden.	0.84229408
TP	4660164	College	Collège	Danach wurde er Professor für Mathematik an der Pariser Ecole Polytechnique und Professor der Physik im [MASK] de France.	0.72524974
TP	1115844	gan	gab	In der Royal Navy [MASK] es seit dem 16.Jahrhundert die Funktion der Vize- und Konteradmirale Vice- bzw. Rear-Admirals , die ursprünglich Stellvertreter des kommandierenden Admirals waren.	0.69113135
