result	confusion_set	target	suggestion	rating	masked_sentence
TP	advice,advise	advise	advice	1	Finally , the actors were not Danny Brook and Tina Truelove , but others I have never seeing before , and the restaurant was closed with no [MASK] .  
TP	advice,advise	advice	advise	1	At the end of show , unfortunately for me and the others spectators , the worst thing happened : the theatre 's restaurant was closed without any reasons and nobody went to us to apologise or [MASK] us for an other restaurant opened late in the night .  
TP	advice,advise	advise	advice	1	Pat gave same [MASK] for me and I disayded to have an operetion .  
TP	advice,advise	advise	advice	1	My [MASK] for you is : " Do not put to much subjects , just put a few subject and make them look interesting "  My name is German Schmidt
TP	advice,advise	advise	advice	1	To sum up , my [MASK] is that the women should go alone or with a female friend .  
TP	advice,advise	advise	advice	1	But my [MASK] for people , who like it so much that can not help doing it , is to try shopping in the afternoon , at this hour no-one do shopping and if there are some shops that are closed you can always go to a shopping mall .  
TP	advice,advise	advise	advice	1	There were some people they gave me some [MASK] to clean the face and etc .  
TP	advice,advise	advise	advice	1	Because I do n't like to give some [MASK] it 's can be willy boring .  
TP	brakes,breaks	brakes	breaks	1	Of course there was the cooking and bar-tending for anyone who was hungry during the [MASK] .  
TP	Country,County,country,county	county	country	1	A lot of [MASK] buy gans for their safty as they say but they buy them do kill people .  
TP	Country,County,country,county	county	country	1	One cold day , Hungbu saw a bird that had a broken wing , so the bird could n't fly to the warmer [MASK] during the winter .  
TP	Effect,affect,effect	effect	affect	1	Shopping does not just [MASK] us mentally , but also physically .  
TP	Effect,affect,effect	effect	affect	1	Some of them are big and some of theme are small , but they [MASK] our lives in the same way .  
TP	Effects,affects,effects	affects	effects	1	On the other hand , the [MASK] that it has on our daily life is not always good as sometime , the technology went wrong and out of hand of people who control it can cause disaster accidents , for example : plane crashes , trains crashed and explosion of nuclears bomb .  
TP	Effects,affects,effects	effects	affects	1	It 's something absoletuly necessary for every action people does It [MASK] us both positive and negative .  
TP	Effects,affects,effects	effects	affects	1	Often people do not see how it [MASK] our life style .  
FN	Effects,affects,effects	affects	effects	0	I think that our lives are lives with technology , they sometimes mean the same as science and [MASK] not on at each other but together .  
FN	Except,accept,except	accept	except	0	Thank 's for [MASK] me in the competition .  
TP	Except,accept,except	except	accept	1	We hope we do not cause any problems to your programme and hope that you will [MASK] our request .  
TP	Except,accept,except	except	accept	1	I would be grateful to [MASK] this prize .  
TP	Form,From,form,from	form	from	1	I hope you will consider this proposition and I am looking forward to hearing [MASK] you .  
FN	Form,From,form,from	form	from	0	It is difficult to see any enjoyment in shopping : facing the crowd , having to withstand the rude clerks and shop managers , trying desperately to choose the right thing - these burdens [MASK] the dark side of shopping .  
TP	Hole,Whole,hole,whole	hole	whole	1	The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they were n't , different actors played and to be honest they made the [MASK] show very bad .  
TP	Hole,Whole,hole,whole	hole	whole	1	It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the [MASK] house is warm due to central heating .  
TP	Hole,Whole,hole,whole	hole	whole	1	I had spent the [MASK] last week in London with one of my colleagues .  
TP	Hole,Whole,hole,whole	hole	whole	1	We were too young to stay a [MASK] weekend alone .  
TP	Hole,Whole,hole,whole	hole	whole	1	I believe that some ather actors mabe made the [MASK] store to be more interesting .  
TP	Hole,Whole,hole,whole	hole	whole	1	Seen my [MASK] life I can say the moden technology has changed my daily life in many ways .  
