confusion_set	expected	target	masked_sentence
Except,accept,except	Except	accept	“[MASK] for ambulance calls, Wednesday will go everywhere I go,” Santiago said.
Effect,affect,effect	Effect	affect	I imagine many readers — who, like me, are non-skiers — spent the snowy weekend in a state of relative idleness, wondering what the world is coming to, and – like me — ran across the January 17 op-ed article in the discussing the FAFO [MASK].
Effect,affect,effect	Effect	affect	But all of this success is not without consequence, as the “Mercer [MASK]” from is something affecting many DMs and parties in the community.
Effect,affect,effect	Effect	affect	For all sources, including inbuilt apps, set the Picture Mode to HDR [MASK].
Effect,affect,effect	Effect	affect	Having access to freshly grown, high quality vegetables would boost health and help tackle the famous "Glasgow [MASK]" that sees the city have some of the poorest health outcomes in the UK.
Effect,affect,effect	Effect	affect	Furthermore, this "Pygmalion [MASK]" seems to have an even greater impact on the achievement of historically excluded racial and ethnic groups in STEM as compared to majority groups.
Effect,affect,effect	Effect	affect	It's coined the Fujiwhara [MASK].
Effect,affect,effect	Effect	affect	In his book Antifragile: Things That Gain From Disorder, Nassim Taleb describes the robustness of things through time with reference to the Lindy [MASK] also known as Lindy’s Law.
Being,begin,being	Being	begin	“[MASK] able to depend on different scholarships that were offered became something that wasn’t really an option anymore because it either wasn’t provided or it got taken away,” Guilford said.
Being,begin,being	Being	begin	A TikTok spokesperson told TechCrunch, “[MASK] at the forefront of innovation is core to building the TikTok experience, and we’re always exploring new technologies that add value to our community.”
Being,begin,being	Being	begin	Already wrapped, the project is led by newcomers Dario Yazebek Bernal (“The House of the Flowers”) and Jack Irv (“Giants [MASK] Lonely”).
Being,begin,being	Being	begin	After the draw concluded, Lloyd spoke live to the BBC and said: “[MASK] in the Challenge Cup is amazing and I speak for all the lads and everyone involved with the club.
Being,begin,being	Being	begin	“[MASK] able to come home and have a lot of people that I haven’t had watch me in a long time, since I was in high school.
Being,begin,being	Being	begin	All of which is to say, Target, under the guise of “[MASK] true to yourself and your community…” is turning a blind eye to Americans who Target sees as belonging to the wrong communities.
Being,begin,being	Being	begin	And today, Cindy releases the dance-banger Cindy explains to SPIN: “[MASK] in the B-52s has been a playful and creative endeavor.
Being,begin,being	Being	begin	“[MASK] a Black owned business means a lot, but being a Black woman-owned business means the world,” Agyare said.
Being,begin,being	Being	begin	“[MASK] able to acknowledge a line-up of inductees once again, all of which have represented at an Olympic Games, shows just many world-class heroes we have always had in the game.
brakes,breaks	brakes	breaks	Speaking to American Jewish leaders about the coalition’s judicial shakeup, US ambassador stresses, ‘I didn’t say put the [MASK] on, I said pump the brakes… slow down’
Site,sight,site	Site	sight	As for GNOME Web's (Epiphany's) Install [MASK] as Web Application, while it still appears in the menu, it is no longer functional.
Site,sight,site	Site	sight	Claflin University students recently traveled from Orangeburg to tour the Savannah River [MASK] in order to learn about the wide array of facilities and occupations found across the 310 square-mile U.S. Department of Energy environmental reservation.
Site,sight,site	Site	sight	Leading Indian Betting [MASK], are offering new customers an amazing 120% Welcome Bonus up to 33,000 INR ahead of the Cricket World Cup, which starts on Thursday 5th October.
Site,sight,site	Site	sight	Multiple outdated industrial buildings sit on the site which form part of the timber yard, and the application states: “As Morgan Timber are in the process of winding down operations at the [MASK], it provides an ideal opportunity for its redevelopment.”
Site,sight,site	Site	sight	Marlins Of Raleigh Swim Team is in search of a full time Developmental Age Group Coach at our Raleigh [MASK].
Country,County,country,county	Country	County	"After that album was released and become a hit, it quadrupled the amount of people that knew about Johnny Cash," Holland told Rolling Stone [MASK].
Country,County,country,county	Country	County	According to the General Manager of the Guest House Edet Etom, the facility is celebrating the Independence anniversary in Style to acknowledge the 63 years of peace and unity in the [MASK] despite challenges.
Country,County,country,county	Country	County	Afton native and Olympic cross country skier Jessie Diggins continues to carve out her accomplishments in the Cross [MASK] ski world, and has become the World Champion in the 10 KM skate event.
Country,County,country,county	Country	County	According to him, ‘The Forward Operating Base is expected to facilitate the planning and execution of military operations, as well as the timely and rapid deployment of troops in response to threats within and around this part of the [MASK].’
Country,County,country,county	Country	county	"After that album was released and become a hit, it quadrupled the amount of people that knew about Johnny Cash," Holland told Rolling Stone [MASK].
Country,County,country,county	Country	county	According to the General Manager of the Guest House Edet Etom, the facility is celebrating the Independence anniversary in Style to acknowledge the 63 years of peace and unity in the [MASK] despite challenges.
Country,County,country,county	Country	county	Afton native and Olympic cross country skier Jessie Diggins continues to carve out her accomplishments in the Cross [MASK] ski world, and has become the World Champion in the 10 KM skate event.
Country,County,country,county	Country	county	According to him, ‘The Forward Operating Base is expected to facilitate the planning and execution of military operations, as well as the timely and rapid deployment of troops in response to threats within and around this part of the [MASK].’
Country,County,country,county	County	Country	A Bibb [MASK] Sheriff’s Office news release says he was captured by members of the U.S. Marshals Southeast Regional Task Force and the Bibb County Sheriff’s Office SWAT unit at a home in the 1500 block of Williamson Road.
Country,County,country,county	County	Country	A Bibb County Sheriff’s Office news release says he was captured by members of the U.S. Marshals Southeast Regional Task Force and the Bibb [MASK] Sheriff’s Office SWAT unit at a home in the 1500 block of Williamson Road.
