org_index	org_token	org_suggestion	confusion_set	text
41103181	Universität	University	University,Universität	Möglich ist aber auch, dass es „CIS-co“ war – Computer Information Services war die Abteilung der Stanford [MASK], in der die Gründer arbeiteten.
40668358	Resistance	Résistance	Resistance,Résistance	Wie viele britische Regisseure leistete Hitchcock seine Beiträge für die Kriegspropaganda und drehte unter anderem Kurzfilme zur Unterstützung der französischen [MASK].
15975937	sin	sind	sin,sind	Nahezu alle Hochfesten Aluminiumlegierungen [MASK] von dem Problem betroffen.
3929925	vor	fort	fort,vor	Dareios setzte inzwischen seine Flucht [MASK].
3929925	Herr	Heer	Heer,Herr	Erst als der Monsun wieder begann, erreichte das [MASK] 325 v. Chr. die Indusmündung und den Indischen Ozean.
10915230	is	ist	is,ist	In den USA [MASK] der Acre als Flächenmaß absolut gebräuchlich.
21426165	After	Alter	After,Alter	Im [MASK] von sechs Jahren wurde Turing nach St. Michaels in eine Ganztagsschule geschickt.
14756882	Juni	Mai	Juni,Mai	Im Januar 2006 bestätigte Angelina Jolie, dass sie ein Kind von Brad Pitt erwartet, das im [MASK] zur Welt kommen soll.
31050312	Februar	February	Februar,February	24. [MASK]
436540	jüngeren	anderen	anderen,jüngeren	Dort versuchte man ihn, nachdem er durch Sexspiele mit [MASK] Kindern gegen die lokalen Tabus verstoßen hatte, mit Gewalt anderthalbjährige Isolation umzuerziehen.
74432427	anerkannt	bekannt	anerkannt,bekannt	Bereits in jungen Jahren war Crowley als ausgezeichneter Bergsteiger [MASK].
3836258	an	ein	an,ein	Bereits früh schlug er eine militärische Laufbahn [MASK].
2965585	sien	sein	sein,sien	Insbesondere sind Produkte von Apple oft darauf ausgelegt, einfacher zu benutzen zu [MASK], als vergleichbare Produkte, ohne deswegen weniger Funktionen zu bieten.
26295245	lies	ließ	lies,ließ	Auch gegenüber den zahlreichen vegetarischen Gemeinschaften in Deutschland zeigte er keinerlei Sympathien Noch 1933 verbot er sämtliche Organisationen und [MASK] ihre Vorstände verhaften.
31987802	Ritter	Reiter	Reiter,Ritter	Hitler soll in den Zwanziger Jahren eine Beziehung zu Maria [MASK] gehabt haben.
22104048	Departement	Département	Departement,Département	Um die Jahrhundertwende eroberten die Franzosen auch die Saharagebiete Algeriens und es wurde ein [MASK] Frankreichs.
21976376	Tore	Torre	Tore,Torre	Eine Plakette mit einem Foto von Agatha Christie am [MASK] Abbey in Torquay.
47872734	Wegen	Wagen	Wagen,Wegen	Im Römischen Reich wurden um 200 n. Wagen benutzt, die durch die Muskelkraft von Sklaven im Inneren der [MASK] bewegt wurden.
4660164	College	Collège	College,Collège	Danach wurde er Professor für Mathematik an der Pariser Ecole Polytechnique und Professor der Physik im [MASK] de France.
1115844	gan	gab	gab,gan	In der Royal Navy [MASK] es seit dem 16. Jahrhundert die Funktion der Vize- und Konteradmirale Vice- bzw. Rear-Admirals , die ursprünglich Stellvertreter des kommandierenden Admirals waren.
55061773	vergeben	verliehen	vergeben,verliehen	Mit Beschluss des Staatsrates der DDR vom 25. März 1982 wurde zudem der Dienstgrad des Flottenadmiral, äquivalent zum Armeegeneral, geschaffen, jedoch nie [MASK].
18157445	Stunden	Sekunden	Sekunden,Stunden	Das ohnehin knappe Treibstoffbudget der Landefähre wurde durch die zusätzlichen Manöver so strapaziert, dass noch Treibstoff für schätzungsweise dreißig [MASK] Flugzeit in den Tanks verblieb.
14229212	erhalten	enthalten	enthalten,erhalten	Ebenso beliebt sind die kartoffeln Sieglinde auch Magarethen genannt, sie wachsen direkt am Strand und [MASK] viele Mineralien vom Meer.
30929844	erhalten	gehalten	erhalten,gehalten	Sie wurden zunächst für einen Zweig des Kuschitischen [MASK], inzwischen ist die von Harold Fleming begründete Abgliederung weitestgehend anerkannt.
51767464	westlich	wesentlich	wesentlich,westlich	Viele HFA-Autisten sind deshalb als Erwachsene nicht von Asperger-Autisten zu unterscheiden, meistens bleiben jedoch die autistischen Symptome [MASK] deutlicher ausgeprägt als beim Asperger-Syndrom.
56777126	heraus	hinaus	heraus,hinaus	Die Entwicklung der Lautsprache erfolgt oft über eine lange Phase der Echolalie, manche der betroffenen Personen kommen über diese Phase nicht [MASK].
43938169	Projekt	Project	Project,Projekt	Das Vorhaben besitzt den Namen Asian Highway [MASK].
9904672	systems	system	system,systems	Betriebssystem heißt auf Englisch operating [MASK].
19589113	auf	zu	auf,zu	In den USA änderte er die Schreibweise dann [MASK] „Billy“.
462086	har	hat	har,hat	In hochreinem Zustand [MASK] es eine goldgelbe Farbe, sonst ist es silberweiß.
4175121	Land	Raum	Land,Raum	Aber er ist auf jeden Fall der größte See im deutschsprachigen [MASK] eben ein Gemeinschaftssee.
37195050	dar	da	da,dar	Durch die Flughafen bedingte Verlegung der Ochtum stellt der Flusslauf das wichtigste Element im Park [MASK].
12691721	Stunden	Stunde	Stunde,Stunden	Sommerzeit vom letzten Sonntag im März bis zum letzten Sonntag im Oktober, GMT + eine [MASK].
4407369	ein	vor	ein,vor	Andererseits schreibt Artikel 65 des Grundgesetzes auch das Ressortprinzip und das Kollegialprinzip [MASK].
44830509	Beginn	Begin	Begin,Beginn	Alkali-Mangan-Batterien enthalten seit [MASK] der 1990er Jahre kein Quecksilber mehr.
53838439	Westen	Südwesten	Südwesten,Westen	Auf der linken Flussseite sind die dominierenden Erhebungen Venusberg und Kreuzberg, nach [MASK] steigt das Stadtgebiet zum Vorgebirge hin an.
17500842	Espanyol	Español	Espanyol,Español	Die beiden mit Abstand wichtigsten Parteien im Parlament der Baleren sind der Partit Popular PP und der Partit Socialista [MASK] PSOE.
202034	sit	ist	ist,sit	Worin sich ein Gasriese und ein Braunem Zwerg genau unterscheiden [MASK] unter Wissenschaftlern noch umstritten.
16265127	Feld	Fidel	Feld,Fidel	Diese erzeugen ihrerseits ein Magnetfeld, das dem erzeugenden [MASK] entgegenwirkt.
23038073	hat	siet	hat,siet	„Erwachen“, auch „Erleuchtung“ erfahren [MASK].
48747185	war	trat	trat,war	1164 [MASK] Bologna in den Lombardenbund gegen Friedrich I. Barbarossa eingetreten, 1256 verkündete die Stadt die Legge del Paradiso Paradiesgesetz , das Leibherrschaft und Sklaverei abschaffte und die verbleibenden Sklaven mit öffentlichem Geld freikaufte.
18462434	klar	knapp	klar,knapp	In Westdeutschland liegen CDU/CSU mit 40,8 % [MASK] vor der SPD mit 38,3 %.
8993535	Stellen	Stelle	Stelle,Stellen	vollassoziativ fully associative Hier kann sich ein Block an jeder beliebigen [MASK] befinden.
60483276	wird	wirkt	wird,wirkt	Biologische Bedeutung Elementares Chlor [MASK] oxidierend und kann mit pflanzlichem und tierischem Gewebe reagieren.
6122597	umgebaut	ausgebaut	ausgebaut,umgebaut	Zusätzlich wurde die Veste Coburg zur Festung [MASK].
6249926	français	française	français,française	Von London aus formierte und dirigierte de Gaulle zunächst die „force [MASK] libre“ FFL.
9422238	um	ein	ein,um	Das CFLN nahm im Juni 1944 den Namen Gouvernement provisoire de la République Française GPRF an und zog im September 1944 in das befreite Paris [MASK].
46454650	Sommer	Somme	Somme,Sommer	Frankreich setzte als erste der kriegführenden Nationen an der [MASK] am 22. Februar 1916 Phosgen COCl2 in Reinform ein, nachdem Deutschland es bereits am 31. Mai 1915 als 5%ige Beimengung zum Chlorgas verwendet hatte.
460546	bestehen	entstehen	bestehen,entstehen	Dieser Kontakt kann durch die Aufnahme von Vertragsverhandlungen [MASK].
5404814	ab	hat	ab,hat	Ab 1893 verschärfen sich die Grenzprobleme mit Argentinien, nachdem Bolivien einen Teil der Puna de Atacama an Argentinien abgetreten [MASK].
25798760	neues	anderes	anderes,neues	Als Jack sechs Jahre alt ist, zieht die Familie in ein [MASK] Haus.
51382642	hat	het	hat,het	In der deutschen Sprache [MASK] sich jedoch die Bedeutung von „Datum“ im allgemeinem Sprachgebrauch auf „Kalenderdatum“ eingeengt.
7591035	Auflage	Ausgabe	Auflage,Ausgabe	Bisher erschien aber noch keine deutsche [MASK].
11304185	Canale	Canal	Canal,Canale	In einer Stadtlandschaft zwischen sorgsam staffierten Elbhängen sollte die Elbe als [MASK] Grande fließen.
18754978	erbaut	erzeugt	erbaut,erzeugt	Städtebaulich wurde damit ein Zusammenspiel von historischer und neuer Architektur [MASK].
8306042	Ecke	Erde	Ecke,Erde	Duergar Die Duergar, auch Dunkelzwerge oder Grauzwerge genannt, sind eine böse Abart der Zwergenrasse, die sich tief unter der [MASK] verstecken und die das Sonnenlicht verabscheuen.
