confusion_set	expected	target	suggestion	masked_sentence
Effect,affect,effect	effect	Effect	affect	A diplomat at Qatar’s EU mission told Doha News at the time that the decision “will negatively [MASK] regional and global security cooperation, as well as ongoing discussions around global energy poverty and security.”
Effect,affect,effect	effect	Effect	affect	Also could you explain more why you used an average of your three scenarios, wouldn't it be better to leave them separated to show how the growth rates would [MASK] the present value?
Capital,Capitol,capital	Capital	capital	Capitol	All these are attributable to excessive abuse of powers by the central government at [MASK] Hill.
Capital,Capitol,capital	Capital	capital	Capitol	Among others, it was envisaged that with the new system accounting officers would be preparing staff salaries at their respective LGAs instead of traveling to [MASK] Hill in Lilongwe every month to process the same.
Capital,Capitol,capital	Capital	capital	Capitol	An exhibit on Ruth Bader Ginsburg at the new [MASK] Jewish Museum in Washington, D.C., June 1, 2023.
Country,County,country,county	Country	country	County	Additionally, [MASK] on Court: Pickleball at CMA Fest, presented by and DINK, the “official drink of pickleballers,” will take place on Thursday, June 8, at Fan Fair X inside Music City Center.
Country,County,country,county	Country	country	County	All proceeds will go towards getting [MASK] Heights Elementary School student Jonah on the waiting list for a service dog.
Country,County,country,county	Country	country	County	Alphabet comprises about 1.8% of [MASK] Trust Bank’s portfolio, making the stock its 13th largest position.
Country,County,country,county	Country	country	County	Also present were [MASK] Operations Manager Sandile Mavuso and SARGE President Nathi Dlamini, as well as representatives of clubs.
Country,County,country,county	Country	country	County	Although a child, she's among the most important characters in the Wano [MASK] arc.
Country,County,country,county	Country	country	County	Although horror films such as “His House” (2019) and series like “Lovecraft [MASK]” have furthered the genre’s impact, the movement has had its fair share of highs and lows throughout history.
Country,County,country,county	Country	country	County	Among the athletes competing was Lake [MASK] resident, Brandon Harder, who had no idea the event was being hosted until it had already begun.
Country,County,country,county	Country	country	County	And I’m so excited to create new memories on this new adventure in Eagles [MASK].
Country,County,country,county	Country	country	County	Ansaf Azhar, the director of public health at Oxfordshire [MASK] Council, stressed the importance of physical activity to overall health in his annual report.
Country,County,country,county	Country	country	County	A police spokesperson said: "We were called at about 12.50pm on Tuesday (October 3) with reports of a body in the water at Milton [MASK] Park.
Country,County,country,county	Country	country	County	As always, it is our mission to ensure that justice is fully pursued and that the rights of all people in Clay [MASK] are protected and upheld by law.
Country,County,country,county	Country	country	County	A standard he's brought to Bears [MASK].
Country,County,country,county	Country	country	County	Brett Parker from Hill [MASK] snake removal always makes a great hand and he joined us for this one.
Country,County,country,county	County	county	Country	A brave Ellen spoke to the [MASK] Press over those difficult days in April 2019 to pay tribute to her daughter and also express her concerns publicly about how she felt mental health professionals 'normalised' Aeryn's suicidal thoughts.
