confusion_set;num_matches;num_sentences
accept,except;0;20
advise,advice;0;21
affect,effect;0;31
begin,being;0;213
bitch,pitch;0;7
brakes,breaks;0;7
burrows,borrows;0;0
sight,site;0;29
cords,chords;0;0
country,county;3;100
crap,crab;0;2
dessert,desert;0;6
ease,easy;0;30
effects,affects;0;23
extend,extent;0;16
feet,feat;0;21
few,view;0;103
form,from;1;839
forth,fourth;0;33
forums,forms;0;3
fund,found;0;115
lead,led;0;96
life,live;1;147
loose,lose;0;20
mad,made;0;154
or,ore;0;413
passed,past;0;80
peace,piece;0;28
plane,plain;0;12
principal,principle;0;13
quite,quiet;0;37
raise,rise;0;32
safe,save;0;48
spit,split;0;9
than,then;0;419
their,there,they;3;1421
theme,them;1;246
things,thinks;0;69
trail,trial;0;27
tree,three;0;174
two,too,to;1;4563
weak,week;0;121
weather,whether;0;56
weed,wheat;0;1
where,were;0;598
which,witch;0;424
whole,hole;1;33
with,width;0;1383
world,word;0;119
you,your;2;698
