confusion_set;num_matches;num_sentences
Being,begin,being;597;600
Capital,Capitol,capital;533;600
Country,County,country,county;1017;1200
Desert,desert,dessert;567;600
Easy,ease,easy;555;558
Effect,affect,effect;480;504
Effects,affects,effects;442;444
Except,accept,except;570;572
Few,View,few,view;1188;1200
Form,From,form,from;1182;1200
Found,Fund,found,fund;1001;1023
Fourth,forth,fourth;595;600
Hole,Whole,hole,whole;901;930
Lead,Led,lead,led;1090;1155
Life,Live,life,live;1097;1200
Mad,Made,mad,made;1034;1098
Or,or,ore;537;552
Past,passed,past;531;538
Peace,Piece,peace,piece;1137;1179
Plain,plain,plane;463;484
Principal,principal,principle;570;600
Provence,Province,province;412;422
Quiet,Quite,quiet,quite;965;993
Rise,raise,rise;564;600
Safe,Save,safe,save;1086;1200
Site,sight,site;562;570
Split,spit,split;337;370
Than,Then,than,then;1033;1059
Their,There,They,their,there,they;2953;3000
Them,Theme,them,theme;749;774
Things,things,thinks;595;600
Three,Tree,three,tree;1154;1200
To,Too,Two,to,too,two;2799;3000
Trail,Trial,trail,trial;992;1095
Weather,Whether,weather,whether;1189;1200
Week,weak,week;590;600
Were,Where,were,where;1175;1200
Which,Witch,which,witch;1127;1155
With,width,with;520;530
Word,World,word,world;1108;1200
You,Your,you,your;1163;1200
advice,advise;187;200
bitch,pitch;119;132
brakes,breaks;141;155
crab,crap;107;123
extend,extent;198;200
feat,feet;199;200
forms,forums;160;185
loose,lose;193;200
weed,wheat;152;200
