confusion_set	target	suggestion	sentence
To,Too,Two,to,too,two	to	too	And at the end , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to stay in queues to buy a ticket for a show , you want to go [to] .  
Effect,affect,effect	effect	affect	Shopping does not just [effect] us mentally , but also physically .  
Plain,plain,plane	plane	plain	If we came back to the past , we felt everything , it was so difficult to do , we would have [plane] and done by ourself and last time .  
Country,County,country,county	county	country	I used to be play in school team when I was in high school and our team was the one of the best Basketball team in all [county]
Their,There,They,their,there,they	their	there	so I had an argument with the people Who worked [their]
To,Too,Two,to,too,two	to	too	But all they have done is told me that I am [to] young for it
Were,Where,were,where	were	where	but there 's one main rule I must tell them [were] I go
Form,From,form,from	form	from	I hope you will consider this proposition and I am looking forward to hearing [form] you .  
You,Your,you,your	your	you	From [your] 's list of activities I choose sailing and climbing .  
Than,Then,than,then	than	then	Sarah looked at him for a while , [than] she stood in front of the class and explaind to the others , that she won a prize for 20 people to travel for 1 week to the sea of southern France and everybody of the 19 pupils was invited , except Pat who was n't very good at keeping secrets .  
Country,County,country,county	county	country	The reason of my decision is that other activities are availiable to take also in my [county] , except climbing , but I have fear of heights so this one is not destinated for people like me .  
Effects,affects,effects	affects	effects	On the other hand , the [affects] that it has on our daily life is not always good as sometime , the technology went wrong and out of hand of people who control it can cause disaster accidents , for example : plane crashes , trains crashed and explosion of nuclears bomb .  
Hole,Whole,hole,whole	hole	whole	The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they were n't , different actors played and to be honest they made the [hole] show very bad .  
Their,There,They,their,there,they	their	there	Another thing was that you said discounts are available which is very important for students , but no [their] were n't any .  
Their,There,They,their,there,they	their	there	Also after the show your restaurant was closed because [their] was n't enough staff .  
Than,Then,than,then	than	then	It starts already in the morning that we wake up by the sound of an alarm clock , [than] in the bathroom we have running hot water and also the hole house is warm due to central heating .  
Hole,Whole,hole,whole	hole	whole	It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the [hole] house is warm due to central heating .  
Weather,Whether,weather,whether	whether	weather	I 'm not scared of darkness , rain , cold or hot [whether] .  
Than,Then,than,then	Than	Then	[Than] you for reading .  
Life,Live,life,live	live	life	Science and technology can give us a better [live] style or better food .  
Their,There,They,their,there,they	There	They	[There] are the natural material on one side whereas on the other side the fashion industry produce more and more syntetical clothes , which relay on the production cost .  
You,Your,you,your	you	your	My name is Furilo J.M. and last month I spent a few days in London , I visited [you] theatre .  
To,Too,Two,to,too,two	to	too	There were supposed to be discounts for the tickets , what appeared to be wrong [to] .  
Word,World,word,world	word	world	She told me , that he was hansom , kind , well-understanding ( he understood her from a half of the [word] ) ; the main was he also liked her very much !  
To,Too,Two,to,too,two	two	to	Furthermore , you asked me to choise [two] activities I would like to do .  
You,Your,you,your	you	your	I have just received a letter from you where you say I won the first prize in [you] competition .  
Life,Live,life,live	live	life	Internet brought a new way to my [live] since I started to use it .  
You,Your,you,your	you	your	Finally , after an hour , when my term came to buy the entrance ticket , [you] staff said I could n't have a discount
