confusion_set;num_matches;num_sentences
accept,except;19;20
advise,advice;21;21
affect,effect;30;32
begin,being;230;230
bitch,pitch;7;7
brakes,breaks;7;7
burrows,borrows;0;0
sight,site;28;29
cords,chords;0;0
country,county;90;104
crap,crab;1;2
dessert,desert;6;6
ease,easy;29;30
effects,affects;23;23
extend,extent;16;16
feet,feat;21;22
few,view;104;104
form,from;893;898
forth,fourth;34;34
forums,forms;3;3
fund,found;116;118
lead,led;96;100
life,live;147;153
loose,lose;19;20
mad,made;156;156
or,ore;443;443
passed,past;79;80
peace,piece;27;28
plane,plain;12;13
principal,principle;12;13
quite,quiet;39;39
raise,rise;27;32
safe,save;49;50
spit,split;9;9
than,then;427;435
their,there,they;3614;3730
theme,them;257;259
things,thinks;68;69
trail,trial;25;27
tree,three;175;176
two,too,to;12595;12638
weak,week;126;128
weather,whether;56;56
weed,wheat;1;1
where,were;661;671
which,witch;437;437
whole,hole;32;33
with,width;1491;1491
world,word;118;122
you,your;1041;1149
